Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,42.972000,44.066002,42.192001,43.397999,43.397999,29616500
2017-01-04,42.950001,45.599998,42.862000,45.397999,45.397999,56067500
2017-01-05,45.284000,45.495998,44.389999,45.349998,45.349998,29558500
2017-01-06,45.386002,46.062000,45.090000,45.801998,45.801998,27639500
2017-01-09,45.793999,46.383999,45.599998,46.256001,46.256001,19897500
2017-01-10,46.400002,46.400002,45.377998,45.973999,45.973999,18300000
2017-01-11,45.813999,45.995998,45.335999,45.945999,45.945999,18254000
2017-01-12,45.812000,46.139999,45.116001,45.917999,45.917999,18951000
2017-01-13,46.000000,47.570000,45.917999,47.549999,47.549999,30465000
2017-01-17,47.340000,47.992001,46.874001,47.116001,47.116001,23087500
2017-01-18,47.330002,47.942001,47.116001,47.672001,47.672001,18845000
2017-01-19,49.450001,49.736000,48.150002,48.751999,48.751999,38661500
2017-01-20,49.091999,49.200001,48.602001,48.945999,48.945999,21021500
2017-01-23,49.169998,50.178001,49.099998,49.784000,49.784000,31314500
2017-01-24,50.000000,50.959999,49.930000,50.922001,50.922001,24827500
2017-01-25,51.462002,51.692001,50.360001,50.894001,50.894001,25713000
2017-01-26,50.858002,51.147999,50.150002,50.501999,50.501999,15760500
2017-01-27,50.276001,50.599998,49.703999,50.590000,50.590000,15831500
2017-01-30,50.506001,51.057999,49.419998,50.125999,50.125999,19005500
2017-01-31,49.848000,51.178001,49.540001,50.386002,50.386002,20580500
2017-02-01,50.610001,50.639999,49.810001,49.848000,49.848000,19794000
2017-02-02,49.667999,50.484001,49.542000,50.310001,50.310001,12499000
2017-02-03,50.382000,50.436001,49.936001,50.265999,50.265999,10933500
2017-02-06,50.200001,51.563999,50.125999,51.554001,51.554001,17812500
2017-02-07,51.638000,52.000000,51.284000,51.495998,51.495998,21224000
2017-02-08,51.470001,52.672001,51.240002,52.416000,52.416000,19665000
2017-02-09,53.250000,54.236000,53.230000,53.840000,53.840000,39101000
2017-02-10,53.958000,54.189999,53.222000,53.846001,53.846001,18098500
2017-02-13,54.147999,56.158001,54.102001,56.119999,56.119999,35148000
2017-02-14,55.806000,57.478001,55.722000,56.195999,56.195999,36726000
2017-02-15,56.000000,56.448002,55.287998,55.952000,55.952000,24739500
2017-02-16,55.520000,56.000000,53.700001,53.790001,53.790001,35386500
2017-02-17,53.160000,54.577999,52.830002,54.445999,54.445999,31285500
2017-02-21,55.090000,56.279999,54.801998,55.478001,55.478001,28383500
2017-02-22,56.062000,56.689999,54.520000,54.702000,54.702000,43775000
2017-02-23,52.799999,52.931999,51.112000,51.198002,51.198002,74576000
2017-02-24,50.532001,51.650002,50.040001,51.400002,51.400002,40858000
2017-02-27,49.633999,49.672001,48.402000,49.245998,49.245998,57304000
2017-02-28,48.838001,50.200001,48.779999,49.998001,49.998001,30390500
2017-03-01,50.835999,50.970001,49.821999,50.004002,50.004002,24047500
2017-03-02,49.942001,50.655998,49.653999,50.096001,50.096001,16759000
2017-03-03,50.147999,50.380001,49.799999,50.313999,50.313999,14597000
2017-03-06,49.582001,50.340000,49.501999,50.242001,50.242001,16777500
2017-03-07,50.383999,50.778000,49.664001,49.717999,49.717999,17297500
2017-03-08,49.400002,50.014000,49.063999,49.374001,49.374001,18626000
2017-03-09,49.526001,49.731998,48.599998,48.980000,48.980000,19396500
2017-03-10,49.242001,49.299999,48.599998,48.737999,48.737999,15331500
2017-03-13,48.964001,49.369999,48.556000,49.234001,49.234001,15113000
2017-03-14,49.222000,51.624001,49.203999,51.599998,51.599998,37992000
2017-03-15,51.400002,52.200001,50.854000,51.146000,51.146000,26654000
2017-03-16,52.480000,53.150002,51.812000,52.410000,52.410000,35661000
2017-03-17,52.799999,53.066002,52.240002,52.299999,52.299999,32487500
2017-03-20,52.119999,52.910000,51.764000,52.383999,52.383999,18071500
2017-03-21,52.566002,52.959999,50.048000,50.136002,50.136002,34543000
2017-03-22,50.312000,51.014000,50.102001,51.001999,51.001999,20296500
2017-03-23,51.077999,51.534000,50.660000,50.956001,50.956001,16601000
2017-03-24,51.139999,52.778000,51.001999,52.632000,52.632000,28236500
2017-03-27,52.119999,54.113998,51.950001,54.043999,54.043999,31154000
2017-03-28,55.403999,56.136002,55.000000,55.490002,55.490002,39938000
2017-03-29,55.667999,55.919998,55.108002,55.476002,55.476002,18381000
2017-03-30,55.608002,56.400002,55.442001,55.584000,55.584000,20742000
2017-03-31,55.745998,55.936001,55.264000,55.660000,55.660000,16473000
2017-04-03,57.380001,59.799999,56.916000,59.703999,59.703999,69443000
2017-04-04,59.377998,60.962002,58.905998,60.740002,60.740002,50673000
2017-04-05,60.408001,60.976002,58.840000,59.000000,59.000000,39404500
2017-04-06,59.375999,60.388000,58.820000,59.740002,59.740002,27603000
